"","X","Country","Freedom","Year","Rank","Score","GDP","Life.Expectancy","Corruption"
"26",26,"Singapore",0.549840569496155,2017,26,6.57200002670288,1.69227766990662,0.949492394924164,0.46430778503418
"27",27,"Malta",0.588767051696777,2017,27,6.52699995040894,1.34327983856201,0.821944236755371,0.153066068887711
"28",28,"Uruguay",0.57939225435257,2017,28,6.4539999961853,1.21755969524384,0.719216823577881,0.178061872720718
"29",29,"Guatemala",0.531310617923737,2017,29,6.4539999961853,0.872001945972443,0.540239989757538,0.0772232785820961
"30",30,"Panama",0.550026834011078,2017,30,6.4520001411438,1.23374843597412,0.706156134605408,0.070983923971653
"31",31,"France",0.470222115516663,2017,31,6.44199991226196,1.43092346191406,0.844465851783752,0.172502428293228
"32",32,"Thailand",0.580200731754303,2017,32,6.42399978637695,1.12786877155304,0.647239029407501,0.0316127352416515
"33",33,"Taiwan Province of China",0.361466586589813,2017,33,6.42199993133545,1.43362653255463,0.793984234333038,0.0638292357325554
"34",34,"Spain",0.408781230449677,2017,34,6.40299987792969,1.38439786434174,0.888960599899292,0.0709140971302986
"35",35,"Qatar",0.604130983352661,2017,35,6.375,1.87076568603516,0.710098087787628,0.439299255609512
"36",36,"Colombia",0.477487415075302,2017,36,6.35699987411499,1.07062232494354,0.595027923583984,0.0466687418520451
"37",37,"Saudi Arabia",0.449750572443008,2017,37,6.3439998626709,1.53062355518341,0.590148329734802,0.27343225479126
"38",38,"Trinidad and Tobago",0.518630743026733,2017,38,6.16800022125244,1.36135590076447,0.519983291625977,0.00896481610834599
"39",39,"Kuwait",0.496337592601776,2017,39,6.10500001907349,1.63295245170593,0.632105708122253,0.215159550309181
"40",40,"Slovakia",0.295817464590073,2017,40,6.09800004959106,1.32539355754852,0.712732911109924,0.0242108516395092
"41",41,"Bahrain",0.536746919155121,2017,41,6.08699989318848,1.48841226100922,0.653133034706116,0.257042169570923
"42",42,"Malaysia",0.402264982461929,2017,42,6.08400011062622,1.29121541976929,0.618784427642822,0.0656007081270218
"43",43,"Nicaragua",0.447551846504211,2017,43,6.07100009918213,0.737299203872681,0.653095960617065,0.130687981843948
"44",44,"Ecuador",0.4551981985569,2017,44,6.00799989700317,1.00082039833069,0.685636222362518,0.140134647488594
"45",45,"El Salvador",0.432452529668808,2017,45,6.00299978256226,0.909784495830536,0.596018552780151,0.0899809598922729
"46",46,"Poland",0.520342111587524,2017,46,5.97300004959106,1.29178786277771,0.699475347995758,0.0593078061938286
"47",47,"Uzbekistan",0.658248662948608,2017,47,5.97100019454956,0.786441087722778,0.498272627592087,0.246528223156929
"48",48,"Italy",0.256450712680817,2017,48,5.96400022506714,1.39506661891937,0.853144347667694,0.0280280914157629
"49",49,"Russia",0.373783111572266,2017,49,5.96299982070923,1.28177809715271,0.547349333763123,0.0329628810286522
"50",50,"Belize",0.547509372234344,2017,50,5.95599985122681,0.907975316047668,0.450191766023636,0.0965810716152191
"51",51,"Japan",0.505625545978546,2017,51,5.92000007629395,1.41691517829895,0.913475871086121,0.163760736584663
"52",52,"Lithuania",0.234231784939766,2017,52,5.90199995040894,1.31458234786987,0.62894994020462,0.0118656428530812
"53",53,"Algeria",0.233335807919502,2017,53,5.87200021743774,1.09186446666718,0.617584645748138,0.146096110343933
"54",54,"Latvia",0.325707912445068,2017,54,5.84999990463257,1.26074862480164,0.638566970825195,0.0738427266478539
"55",55,"South Korea",0.257921665906906,2017,55,5.83799982070923,1.40167844295502,0.900214076042175,0.0632826685905457
"56",56,"Moldova",0.240729048848152,2017,56,5.83799982070923,0.728870630264282,0.589465200901031,0.0100912861526012
"57",57,"Romania",0.457003742456436,2017,57,5.82499980926514,1.21768391132355,0.685158312320709,0.00438790069893003
"58",58,"Bolivia",0.558732926845551,2017,58,5.82299995422363,0.833756566047668,0.473630249500275,0.0604777261614799
"59",59,"Turkmenistan",0.41827192902565,2017,59,5.82200002670288,1.13077676296234,0.437726080417633,0.259270340204239
"60",60,"Kazakhstan",0.437454283237457,2017,60,5.81899976730347,1.28455626964569,0.606041550636292,0.119282886385918
"61",61,"North Cyprus",0.471203625202179,2017,61,5.80999994277954,1.3469113111496,0.834647238254547,0.155353352427483
"62",62,"Slovenia",0.572575807571411,2017,62,5.75799989700317,1.3412059545517,0.790828227996826,0.0451289787888527
"63",63,"Peru",0.450002878904343,2017,63,5.71500015258789,1.03522527217865,0.630166113376617,0.0470490865409374
"64",64,"Mauritius",0.491247326135635,2017,64,5.62900018692017,1.18939554691315,0.638007462024689,0.0421815551817417
"65",65,"Cyprus",0.355111539363861,2017,65,5.62099981307983,1.35593807697296,0.84471470117569,0.0412379764020443
"66",66,"Estonia",0.479131430387497,2017,66,5.61100006103516,1.32087934017181,0.695168316364288,0.183248922228813
"67",67,"Belarus",0.295400261878967,2017,67,5.56899976730347,1.15655755996704,0.637714266777039,0.156313821673393
"68",68,"Libya",0.465733230113983,2017,68,5.52500009536743,1.10180306434631,0.520169019699097,0.0926102101802826
"69",69,"Turkey",0.300740599632263,2017,69,5.5,1.19827437400818,0.637605607509613,0.0996715798974037
"70",70,"Paraguay",0.473507791757584,2017,70,5.49300003051758,0.932537317276001,0.579250693321228,0.091065913438797
"71",71,"Hong Kong S.A.R., China",0.490968644618988,2017,71,5.47200012207031,1.55167484283447,0.943062424659729,0.293933749198914
"72",72,"Philippines",0.585214674472809,2017,72,5.42999982833862,0.85769921541214,0.468009054660797,0.0993318930268288
"73",73,"Serbia",0.208715528249741,2017,73,5.39499998092651,1.06931757926941,0.65078467130661,0.0409037806093693
"74",74,"Jordan",0.418421149253845,2017,74,5.33599996566772,0.991012394428253,0.604590058326721,0.11980327218771
"75",75,"Hungary",0.175863519310951,2017,75,5.32399988174438,1.2860119342804,0.687763452529907,0.0366369374096394
"76",76,"Jamaica",0.474307239055634,2017,76,5.31099987030029,0.925579309463501,0.641022384166718,0.0552677810192108
"77",77,"Croatia",0.255772292613983,2017,77,5.29300022125244,1.22255623340607,0.701288521289825,0.0431031100451946
"78",78,"Kosovo",0.260287940502167,2017,78,5.27899980545044,0.951484382152557,0.541452050209045,0.0574716180562973
"79",79,"China",0.472787708044052,2017,79,5.27299976348877,1.08116579055786,0.741415500640869,0.0227942746132612
"80",80,"Pakistan",0.23521526157856,2017,80,5.26900005340576,0.72688353061676,0.402047783136368,0.124348066747189
"81",81,"Indonesia",0.443323463201523,2017,81,5.26200008392334,0.995538592338562,0.492345720529556,0.0153171354904771
"82",82,"Venezuela",0.153997123241425,2017,82,5.25,1.12843120098114,0.617144227027893,0.0644911229610443
"83",83,"Montenegro",0.194989055395126,2017,83,5.23699998855591,1.12112903594971,0.667464673519135,0.0881741940975189
"84",84,"Morocco",0.408158332109451,2017,84,5.2350001335144,0.878114581108093,0.59771066904068,0.0877631828188896
"85",85,"Azerbaijan",0.398155838251114,2017,85,5.23400020599365,1.15360176563263,0.540775775909424,0.180987507104874
"86",86,"Dominican Republic",0.55258983373642,2017,86,5.23000001907349,1.07937383651733,0.574873745441437,0.113945253193378
"87",87,"Greece",0.0957312509417534,2017,87,5.22700023651123,1.28948748111725,0.810198903083801,0.04328977689147
"88",88,"Lebanon",0.288515985012054,2017,88,5.22499990463257,1.07498753070831,0.735081076622009,0.037513829767704
"89",89,"Portugal",0.498465299606323,2017,89,5.19500017166138,1.3151752948761,0.795843541622162,0.0158694516867399
"90",90,"Bosnia and Herzegovina",0.204403176903725,2017,90,5.18200016021729,0.982409417629242,0.705186307430267,0
"91",91,"Honduras",0.348079860210419,2017,91,5.18100023269653,0.730573117733002,0.582569479942322,0.0733454525470734
"92",92,"Macedonia",0.325905978679657,2017,92,5.17500019073486,1.06457793712616,0.644948184490204,0.0602777935564518
"93",93,"Somalia",0.602126955986023,2017,93,5.15100002288818,0.0226431842893362,0.113989137113094,0.282410323619843
"94",94,"Vietnam",0.571055591106415,2017,94,5.07399988174438,0.788547575473785,0.652168989181519,0.0876332372426987
"95",95,"Nigeria",0.394952565431595,2017,95,5.07399988174438,0.783756256103516,0.0569157302379608,0.0261215660721064
"96",96,"Tajikistan",0.471566706895828,2017,96,5.04099988937378,0.524713635444641,0.529235124588013,0.146377146244049
"97",97,"Bhutan",0.501537680625916,2017,97,5.01100015640259,0.885416388511658,0.495879292488098,0.173380389809608
"98",98,"Kyrgyzstan",0.454943388700485,2017,98,5.00400018692017,0.596220076084137,0.553457796573639,0.0394391790032387
"99",99,"Nepal",0.440305948257446,2017,99,4.96199989318848,0.479820191860199,0.504130780696869,0.0729755461215973
"100",100,"Mongolia",0.394143968820572,2017,100,4.95499992370605,1.02723586559296,0.557783484458923,0.0329022891819477
"101",101,"South Africa",0.479246735572815,2017,101,4.8289999961853,1.05469870567322,0.187080070376396,0.0725094974040985
"102",102,"Tunisia",0.289680689573288,2017,102,4.80499982833862,1.00726580619812,0.613212049007416,0.0867231488227844
"103",103,"Palestinian Territories",0.25471106171608,2017,103,4.77500009536743,0.716249227523804,0.565666973590851,0.0892826020717621
"104",104,"Egypt",0.282110154628754,2017,104,4.7350001335144,0.989701807498932,0.520187258720398,0.114381365478039
"105",105,"Bulgaria",0.289231717586517,2017,105,4.71400022506714,1.1614590883255,0.708217680454254,0.0110515309497714
"106",106,"Sierra Leone",0.318697690963745,2017,106,4.70900011062622,0.36842092871666,0.00556475389748812,0.0710951760411263
"107",107,"Cameroon",0.430388748645782,2017,107,4.69500017166138,0.564305365085602,0.132892116904259,0.0513066314160824
"108",108,"Iran",0.249322608113289,2017,108,4.69199991226196,1.15687310695648,0.639333188533783,0.048761073499918
"109",109,"Albania",0.381498634815216,2017,109,4.64400005340576,0.996192753314972,0.731159746646881,0.0398642159998417
"110",110,"Bangladesh",0.478356659412384,2017,110,4.60799980163574,0.586682975292206,0.533241033554077,0.123717859387398
"111",111,"Namibia",0.520303547382355,2017,111,4.57399988174438,0.964434325695038,0.33861181139946,0.0931469723582268
"112",112,"Kenya",0.452763766050339,2017,112,4.55299997329712,0.560479462146759,0.309988349676132,0.0646413192152977
"113",113,"Mozambique",0.480791091918945,2017,113,4.55000019073486,0.234305649995804,0.106654435396194,0.179436385631561
"114",114,"Myanmar",0.514492034912109,2017,114,4.54500007629395,0.367110550403595,0.397522568702698,0.188816204667091
"115",115,"Senegal",0.377922266721725,2017,115,4.53499984741211,0.479309022426605,0.409362852573395,0.115460447967052
"116",116,"Zambia",0.461603492498398,2017,116,4.51399993896484,0.636406779289246,0.257835894823074,0.0782135501503944
"117",117,"Iraq",0.288555532693863,2017,117,4.49700021743774,1.10271048545837,0.501180469989777,0.107215754687786
"118",118,"Gabon",0.312328577041626,2017,118,4.46500015258789,1.1982102394104,0.356578588485718,0.0760467872023582
"119",119,"Ethiopia",0.408842742443085,2017,119,4.46000003814697,0.339233845472336,0.353409707546234,0.165455713868141
"120",120,"Sri Lanka",0.561213254928589,2017,120,4.44000005722046,1.00985014438629,0.625130832195282,0.0736539661884308
"121",121,"Armenia",0.198303267359734,2017,121,4.37599992752075,0.900596737861633,0.637524425983429,0.0266744215041399
"122",122,"India",0.469987004995346,2017,122,4.31500005722046,0.792221248149872,0.455427616834641,0.0922268852591515
"123",123,"Mauritania",0.0960980430245399,2017,123,4.29199981689453,0.648457288742065,0.285349279642105,0.136957004666328
"124",124,"Congo (Brazzaville)",0.435025870800018,2017,124,4.29099988937378,0.808964252471924,0.28995743393898,0.0796181336045265
"125",125,"Georgia",0.309410035610199,2017,125,4.28599977493286,0.950612664222717,0.649546980857849,0.251666635274887
"126",126,"Congo (Kinshasa)",0.235961347818375,2017,126,4.28000020980835,0.0921023488044739,0.191407024860382,0.0602413564920425
"127",127,"Mali",0.306613743305206,2017,127,4.19000005722046,0.476180493831635,0.169365674257278,0.104970246553421
"128",128,"Ivory Coast",0.447706192731857,2017,128,4.17999982833862,0.603048920631409,0.0486421696841717,0.130061775445938
"129",129,"Cambodia",0.633375823497772,2017,129,4.16800022125244,0.601765096187592,0.429783403873444,0.0681059509515762
"130",130,"Sudan",0.0149958552792668,2017,130,4.13899993896484,0.65951669216156,0.290920823812485,0.089847519993782
"131",131,"Ghana",0.423026293516159,2017,131,4.11999988555908,0.667224824428558,0.295637726783752,0.0253363698720932
"132",132,"Ukraine",0.122974775731564,2017,132,4.09600019454956,0.89465194940567,0.575903952121735,0.0230294708162546
"133",133,"Uganda",0.443185955286026,2017,133,4.08099985122681,0.381430715322495,0.217632606625557,0.057069718837738
"134",134,"Burkina Faso",0.324367851018906,2017,134,4.03200006484985,0.3502277135849,0.215844258666039,0.120328105986118
"135",135,"Niger",0.36365869641304,2017,135,4.02799987792969,0.161925330758095,0.26850500702858,0.138572946190834
"136",136,"Malawi",0.466914653778076,2017,136,3.97000002861023,0.233442038297653,0.315089583396912,0.0727116540074348
"137",137,"Chad",0.16234202682972,2017,137,3.93600010871887,0.438012987375259,0.0411347150802612,0.0535818822681904
"138",138,"Zimbabwe",0.336384207010269,2017,138,3.875,0.375846534967422,0.196763753890991,0.0953753814101219
"139",139,"Lesotho",0.390661299228668,2017,139,3.80800008773804,0.521021246910095,0,0.119094640016556
"140",140,"Angola",0,2017,140,3.79500007629395,0.858428180217743,0.0498686656355858,0.0697203353047371
"141",141,"Afghanistan",0.106179520487785,2017,141,3.79399991035461,0.401477217674255,0.180746778845787,0.0611578300595284
"142",142,"Botswana",0.505196332931519,2017,142,3.76600003242493,1.12209415435791,0.341755509376526,0.0985831990838051
"143",143,"Benin",0.425962775945663,2017,143,3.65700006484985,0.431085407733917,0.209930211305618,0.0609290152788162
"144",144,"Madagascar",0.189196765422821,2017,144,3.64400005340576,0.305808693170547,0.375223308801651,0.0672319754958153
"145",145,"Haiti",0.0303698573261499,2017,145,3.6029999256134,0.368610262870789,0.277321130037308,0.0998721495270729
"146",146,"Yemen",0.249463722109795,2017,146,3.59299993515015,0.591683447360992,0.310080915689468,0.0567674227058887
"147",147,"South Sudan",0.147062435746193,2017,147,3.59100008010864,0.39724862575531,0.163486003875732,0.116793513298035
"148",148,"Liberia",0.332881182432175,2017,148,3.53299999237061,0.119041793048382,0.229918196797371,0.0389482490718365
"149",149,"Guinea",0.348587512969971,2017,149,3.50699996948242,0.244549930095673,0.194129139184952,0.110937617719173
"150",150,"Togo",0.38042613863945,2017,150,3.49499988555908,0.305444717407227,0.247105568647385,0.0956650152802467
"151",151,"Rwanda",0.581843852996826,2017,151,3.47099995613098,0.368745893239975,0.326424807310104,0.455220013856888
"152",152,"Syria",0.0815394446253777,2017,152,3.46199989318848,0.777153134346008,0.50053334236145,0.151347130537033
"153",153,"Tanzania",0.390017777681351,2017,153,3.34899997711182,0.511135876178741,0.364509284496307,0.0660351067781448
"154",154,"Burundi",0.0599007532000542,2017,154,2.90499997138977,0.091622568666935,0.151610791683197,0.0841479450464249
"155",155,"Central African Republic",0.270842045545578,2017,155,2.69300007820129,0,0.0187726859003305,0.0565650761127472
