"","X.1","X","Year","Country","Region","Score","GDP","Life.Expectancy","Freedom","Corruption","Rank"
"119",119,119,2020,"Jordan","Middle East and North Africa",4.633399963,9.025999069,66.79975128,0.75104779,0.700344324,119
"120",120,120,2020,"Mozambique","Sub-Saharan Africa",4.623600006,7.069345951,54.20582199,0.864451885,0.683019102,120
"121",121,121,2020,"Kenya","Sub-Saharan Africa",4.583000183,8.02977562,60.09693146,0.829747558,0.831499159,121
"122",122,122,2020,"Namibia","Sub-Saharan Africa",4.571100235,9.203141212,56.50148773,0.767520964,0.851449788,122
"123",123,123,2020,"Ukraine","Commonwealth of Independent States",4.56069994,9.010690689,64.60678101,0.663081884,0.920636714,123
"124",124,124,2020,"Liberia","Sub-Saharan Africa",4.557899952,7.054380417,56.09631348,0.735268712,0.856375933,124
"125",125,125,2020,"Palestinian Territories","Middle East and North Africa",4.552800179,8.389223099,62.25,0.645791829,0.824199975,125
"126",126,126,2020,"Uganda","Sub-Saharan Africa",4.43200016,7.500389576,55.70820236,0.731713951,0.836737812,126
"127",127,127,2020,"Chad","Sub-Saharan Africa",4.422699928,7.467963696,48.22053909,0.587305248,0.802760839,127
"128",128,128,2020,"Tunisia","Middle East and North Africa",4.392199993,9.314972878,66.89785767,0.593361557,0.867590249,128
"129",129,129,2020,"Mauritania","Sub-Saharan Africa",4.374599934,8.233919144,57.01017761,0.551522553,0.746223509,129
"130",130,130,2020,"Sri Lanka","South Asia",4.327000141,9.389969826,67.20006561,0.837633669,0.859001756,130
"131",131,131,2020,"Congo (Kinshasa)","Sub-Saharan Africa",4.31099987,6.694256306,52.90000153,0.700793564,0.809403598,131
"132",132,132,2020,"Swaziland","Sub-Saharan Africa",4.308100224,9.16267395,51.18823624,0.646822274,0.708263338,132
"133",133,133,2020,"Myanmar","Southeast Asia",4.308000088,8.680481911,58.96171188,0.895075202,0.645124316,133
"134",134,134,2020,"Comoros","Sub-Saharan Africa",4.288599968,7.833630085,57.34901047,0.547612607,0.780622602,134
"135",135,135,2020,"Togo","Sub-Saharan Africa",4.187200069,7.357711315,54.71989822,0.649828613,0.757733464,135
"136",136,136,2020,"Ethiopia","Sub-Saharan Africa",4.186200142,7.509385586,58.63959122,0.740795195,0.753690004,136
"137",137,137,2020,"Madagascar","Sub-Saharan Africa",4.165599823,7.281685829,59.10542679,0.557574093,0.817485631,137
"138",138,138,2020,"Egypt","Middle East and North Africa",4.151400089,9.316541672,61.78015137,0.708354175,0.787726879,138
"139",139,139,2020,"Sierra Leone","Sub-Saharan Africa",3.926399946,7.26880312,50.86514282,0.715315044,0.861330688,139
"140",140,140,2020,"Burundi","Sub-Saharan Africa",3.775300026,6.492642403,53.40000153,0.626350224,0.606934547,140
"141",141,141,2020,"Zambia","Sub-Saharan Africa",3.759399891,8.224720001,55.29937744,0.806500256,0.801289678,141
"142",142,142,2020,"Haiti","Latin America and Caribbean",3.720799923,7.411329269,55.59862518,0.537825167,0.684767246,142
"143",143,143,2020,"Lesotho","Sub-Saharan Africa",3.652800083,7.960488319,48.00362396,0.738125861,0.857392073,143
"144",144,144,2020,"India","South Asia",3.573299885,8.849823952,60.21518707,0.881444871,0.772042692,144
"145",145,145,2020,"Malawi","Sub-Saharan Africa",3.538000107,7.062226295,57.59288788,0.803223193,0.731700778,145
"146",146,146,2020,"Yemen","Middle East and North Africa",3.527400017,7.759682655,56.72728348,0.599920273,0.800287724,146
"147",147,147,2020,"Botswana","Sub-Saharan Africa",3.478899956,9.711203575,58.92445374,0.821328104,0.777930915,147
"148",148,148,2020,"Tanzania","Sub-Saharan Africa",3.476200104,7.967665195,57.49607468,0.82153976,0.619799435,148
"149",149,149,2020,"Central African Republic","Sub-Saharan Africa",3.475899935,6.625160217,45.20000076,0.640880644,0.891806662,149
"150",150,150,2020,"Rwanda","Sub-Saharan Africa",3.312299967,7.600104332,61.09884644,0.900589406,0.183541179,150
"151",151,151,2020,"Zimbabwe","Sub-Saharan Africa",3.299200058,7.865711689,55.61725998,0.711457908,0.81023699,151
"152",152,152,2020,"South Sudan","Sub-Saharan Africa",2.816600084,7.425359726,51,0.451313615,0.763417304,152
"153",153,153,2020,"Afghanistan","South Asia",2.566900015,7.462860584,52.59000015,0.396573007,0.933686554,153
